columna
LIB_003_32
LIB_003_33
LIB_003_34
LIB_003_36
LIB_003_37
LIB_003_38
LIB_003_50
LIB_003_59
LIB_003_60
LIB_003_84
LIB_031_34
LIB_031_84
LIB_031_50
LIB_031_60
LIB_031_59
LIB_031_37
LIB_031_36
LIB_031_33
LIB_031_38
LIB_032_34
LIB_033_34
